
  Computed solution coefficients:

  Node    X(I)        U(X(I))

         0  0.000000        0.000000
         1  0.000013       -0.000068
         2  0.000025        0.000023
         3  0.000037       -0.000002
         4  0.000050       -0.000002
         5  0.000063        0.000001
         6  0.000075        0.000001
         7  0.000087       -0.000000
         8  0.000100       -0.000000
         9  0.000112        0.000000
        10  0.000125        0.000000
        11  0.000138       -0.000000
        12  0.000150       -0.000000
        13  0.000162        0.000000
        14  0.000175       -0.000000
        15  0.000188       -0.000000
        16  0.000200        0.000000
        17  0.000212        0.000000
        18  0.000225       -0.000000
        19  0.000237       -0.000000
        20  0.000250        0.000000
        21  0.000262        0.000000
        22  0.000275       -0.000000
        23  0.000287       -0.000000
        24  0.000300        0.000000
        25  0.000313       -0.000000
        26  0.000325       -0.000000
        27  0.000338        0.000000
        28  0.000350        0.000000
        29  0.000362       -0.000000
        30  0.000375       -0.000000
        31  0.000387        0.000000
        32  0.000400        0.000000
        33  0.000412       -0.000000
        34  0.000425       -0.000000
        35  0.000438        0.000000
        36  0.000450       -0.000000
        37  0.000463       -0.000000
        38  0.000475        0.000000
        39  0.000487        0.000000
        40  0.000500       -0.000000
        41  0.000513       -0.000000
        42  0.000525        0.000000
        43  0.000538        0.000000
        44  0.000550       -0.000000
        45  0.000562       -0.000000
        46  0.000575        0.000000
        47  0.000588        0.000000
        48  0.000600       -0.000000
        49  0.000612        0.000000
        50  0.000625        0.000000
        51  0.000638       -0.000000
        52  0.000650       -0.000000
        53  0.000663        0.000000
        54  0.000675        0.000000
        55  0.000687       -0.000000
        56  0.000700       -0.000000
        57  0.000713        0.000000
        58  0.000725        0.000000
        59  0.000737       -0.000000
        60  0.000750        0.000000
        61  0.000763        0.000000
        62  0.000775       -0.000000
        63  0.000788       -0.000000
        64  0.000800        0.000000
        65  0.000812        0.000000
        66  0.000825       -0.000000
        67  0.000838       -0.000000
        68  0.000850        0.000000
        69  0.000862        0.000000
        70  0.000875       -0.000000
        71  0.000888        0.000000
        72  0.000900        0.000000
        73  0.000913       -0.000000
        74  0.000925       -0.000000
        75  0.000937        0.000000
        76  0.000950        0.000000
        77  0.000963       -0.000000
        78  0.000975       -0.000000
        79  0.000988        0.000000
        80  0.001000        0.000000
        81  0.001012       -0.000000
        82  0.001025       -0.000000
        83  0.001038        0.000000
        84  0.001050       -0.000000
        85  0.001063       -0.000000
        86  0.001075        0.000000
        87  0.001087        0.000000
        88  0.001100       -0.000000
        89  0.001112       -0.000000
        90  0.001125        0.000000
        91  0.001138        0.000000
        92  0.001150       -0.000000
        93  0.001162       -0.000000
        94  0.001175        0.000000
        95  0.001187       -0.000000
        96  0.001200       -0.000000
        97  0.001213        0.000000
        98  0.001225        0.000000
        99  0.001238       -0.000000
       100  0.001250       -0.000000
       101  0.001262        0.000000
       102  0.001275        0.000000
       103  0.001288       -0.000000
       104  0.001300       -0.000000
       105  0.001313        0.000000
       106  0.001325        0.000000
       107  0.001337       -0.000000
       108  0.001350        0.000000
       109  0.001362        0.000000
       110  0.001375       -0.000000
       111  0.001388       -0.000000
       112  0.001400        0.000000
       113  0.001412        0.000000
       114  0.001425       -0.000000
       115  0.001437       -0.000000
       116  0.001450        0.000000
       117  0.001463        0.000000
       118  0.001475       -0.000000
       119  0.001488        0.000000
       120  0.001500        0.000000
       121  0.001512       -0.000000
       122  0.001525       -0.000000
       123  0.001538        0.000000
       124  0.001550        0.000000
       125  0.001563       -0.000000
       126  0.001575       -0.000000
       127  0.001587        0.000000
       128  0.001600        0.000000
       129  0.001613       -0.000000
       130  0.001625        0.000000
       131  0.001638        0.000000
       132  0.001650       -0.000000
       133  0.001662       -0.000000
       134  0.001675        0.000000
       135  0.001687        0.000000
       136  0.001700       -0.000000
       137  0.001713       -0.000000
       138  0.001725        0.000000
       139  0.001737        0.000000
       140  0.001750       -0.000000
       141  0.001762       -0.000000
       142  0.001775        0.000000
       143  0.001788       -0.000000
       144  0.001800       -0.000000
       145  0.001813        0.000000
       146  0.001825        0.000000
       147  0.001837       -0.000000
       148  0.001850       -0.000000
       149  0.001863        0.000000
       150  0.001875        0.000000
       151  0.001888       -0.000000
       152  0.001900       -0.000000
       153  0.001912        0.000000
       154  0.001925       -0.000000
       155  0.001937       -0.000000
       156  0.001950        0.000000
       157  0.001962        0.000000
       158  0.001975       -0.000000
       159  0.001988       -0.000000
       160  0.002000        0.000000
       161  0.002012        0.000000
       162  0.002025       -0.000000
       163  0.002037       -0.000000
       164  0.002050        0.000000
       165  0.002063        0.000000
       166  0.002075       -0.000000
       167  0.002087        0.000000
       168  0.002100        0.000000
       169  0.002112       -0.000000
       170  0.002125       -0.000000
       171  0.002138        0.000000
       172  0.002150        0.000000
       173  0.002162       -0.000000
       174  0.002175       -0.000000
       175  0.002188        0.000000
       176  0.002200        0.000000
       177  0.002213       -0.000000
       178  0.002225        0.000000
       179  0.002237        0.000000
       180  0.002250       -0.000000
       181  0.002263       -0.000000
       182  0.002275        0.000000
       183  0.002288        0.000000
       184  0.002300       -0.000000
       185  0.002312       -0.000000
       186  0.002325        0.000000
       187  0.002338        0.000000
       188  0.002350       -0.000000
       189  0.002363        0.000000
       190  0.002375        0.000000
       191  0.002387       -0.000000
       192  0.002400       -0.000000
       193  0.002413        0.000000
       194  0.002425        0.000000
       195  0.002437       -0.000000
       196  0.002450       -0.000000
       197  0.002462        0.000000
       198  0.002475        0.000000
       199  0.002488       -0.000000
       200  0.002500       -0.000000
       201  0.002512        0.000000
       202  0.002525       -0.000000
       203  0.002537       -0.000000
       204  0.002550        0.000000
       205  0.002563        0.000000
       206  0.002575       -0.000000
       207  0.002587       -0.000000
       208  0.002600        0.000000
       209  0.002612        0.000000
       210  0.002625       -0.000000
       211  0.002638       -0.000000
       212  0.002650        0.000000
       213  0.002662       -0.000000
       214  0.002675       -0.000000
       215  0.002687        0.000000
       216  0.002700        0.000000
       217  0.002713       -0.000000
       218  0.002725       -0.000000
       219  0.002737        0.000000
       220  0.002750        0.000000
       221  0.002763       -0.000000
       222  0.002775       -0.000000
       223  0.002788        0.000000
       224  0.002800        0.000000
       225  0.002812       -0.000000
       226  0.002825        0.000000
       227  0.002838        0.000000
       228  0.002850       -0.000000
       229  0.002863       -0.000000
       230  0.002875        0.000000
       231  0.002887        0.000000
       232  0.002900       -0.000000
       233  0.002913       -0.000000
