
  Computed solution coefficients:

  Node    X(I)        U(X(I))

         0  0.000000        0.000000
         1  0.010000             nan
         2  0.020000             nan
         3  0.030000             nan
         4  0.040000             nan
         5  0.050000             nan
         6  0.060000             nan
         7  0.070000             nan
         8  0.080000             nan
         9  0.090000             nan
        10  0.100000             nan
        11  0.110000             nan
        12  0.120000             nan
        13  0.130000             nan
        14  0.140000             nan
        15  0.150000             nan
        16  0.160000             nan
        17  0.170000             nan
        18  0.180000             nan
        19  0.190000             nan
        20  0.200000             nan
        21  0.210000             nan
        22  0.220000             nan
        23  0.230000             nan
        24  0.240000             nan
        25  0.250000             nan
        26  0.260000             nan
        27  0.270000             nan
        28  0.280000             nan
        29  0.290000             nan
        30  0.300000             nan
        31  0.310000             nan
        32  0.320000             nan
        33  0.330000             nan
        34  0.340000             nan
        35  0.350000             nan
        36  0.360000             nan
        37  0.370000             nan
        38  0.380000             nan
        39  0.390000             nan
        40  0.400000             nan
        41  0.410000             nan
        42  0.420000             nan
        43  0.430000             nan
        44  0.440000             nan
        45  0.450000             nan
        46  0.460000             nan
        47  0.470000             nan
        48  0.480000             nan
        49  0.490000             nan
        50  0.500000             nan
        51  0.510000             nan
        52  0.520000             nan
        53  0.530000             nan
        54  0.540000             nan
        55  0.550000             nan
        56  0.560000             nan
        57  0.570000             nan
        58  0.580000             nan
        59  0.590000             nan
        60  0.600000             nan
        61  0.610000             nan
        62  0.620000             nan
        63  0.630000             nan
        64  0.640000             nan
        65  0.650000             nan
        66  0.660000             nan
        67  0.670000             nan
        68  0.680000             nan
        69  0.690000             nan
        70  0.700000             nan
        71  0.710000             nan
        72  0.720000             nan
        73  0.730000             nan
        74  0.740000             nan
        75  0.750000             nan
        76  0.760000             nan
        77  0.770000             nan
        78  0.780000             nan
        79  0.790000             nan
        80  0.800000             nan
        81  0.810000             nan
        82  0.820000             nan
        83  0.830000             nan
        84  0.840000             nan
        85  0.850000             nan
        86  0.860000             nan
        87  0.870000             nan
        88  0.880000             nan
        89  0.890000             nan
        90  0.900000             nan
        91  0.910000             nan
        92  0.920000             nan
        93  0.930000             nan
        94  0.940000             nan
        95  0.950000             nan
        96  0.960000             nan
        97  0.970000             nan
        98  0.980000             nan
        99  0.990000             nan
       100  1.000000             nan

FEM1D:
  Normal end of execution.

